epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2888.9,0.95754,1.16269,1.31013,0.4447,0.4262,0.35295,0.25356,1.34126,1.86244,1.66789,0.000660045,0.000660045,0.000660045
43,2955.51,0.94017,1.13545,1.30149,0.40483,0.46236,0.35424,0.25835,1.32473,1.88855,1.6393,0.000649046,0.000649046,0.000649046
44,3022.67,0.94641,1.15494,1.3067,0.44661,0.44504,0.35331,0.25573,1.32827,1.87506,1.62915,0.000638047,0.000638047,0.000638047
45,3089.17,0.9367,1.13808,1.29809,0.41259,0.4481,0.3533,0.25682,1.31155,1.90864,1.63018,0.000627048,0.000627048,0.000627048
46,3157.88,0.9313,1.11893,1.29534,0.40949,0.4309,0.35858,0.26362,1.30003,1.86799,1.63664,0.000616049,0.000616049,0.000616049
47,3227.69,0.94531,1.1345,1.30413,0.47262,0.40859,0.36549,0.26396,1.30707,1.86241,1.63077,0.000605051,0.000605051,0.000605051
48,3296.24,0.92584,1.11376,1.28872,0.41281,0.44043,0.34742,0.25277,1.30909,1.8716,1.62224,0.000594052,0.000594052,0.000594052
49,3364.4,0.917,1.10674,1.28459,0.41805,0.43604,0.35763,0.26121,1.2989,1.91333,1.63861,0.000583053,0.000583053,0.000583053
50,3433.01,0.92429,1.10962,1.28544,0.43772,0.4594,0.36644,0.27146,1.28291,1.84604,1.60735,0.000572054,0.000572054,0.000572054
51,3500.13,0.89903,1.08679,1.27109,0.3953,0.45702,0.35867,0.26075,1.28485,1.8676,1.61994,0.000561055,0.000561055,0.000561055
52,3567.28,0.90673,1.09982,1.27079,0.42783,0.44515,0.3675,0.27237,1.27736,1.81296,1.6132,0.000550056,0.000550056,0.000550056
53,3635.72,0.90866,1.08669,1.26981,0.42776,0.44541,0.36161,0.26463,1.31178,1.88039,1.63569,0.000539057,0.000539057,0.000539057
54,3705.7,0.89435,1.06174,1.26257,0.41948,0.45114,0.35562,0.26167,1.29618,1.87679,1.624,0.000528058,0.000528058,0.000528058
55,3778.21,0.89796,1.06339,1.26415,0.42503,0.4395,0.35547,0.26281,1.29768,1.86453,1.63307,0.000517059,0.000517059,0.000517059
56,3844,0.89902,1.072,1.2694,0.42452,0.43906,0.3625,0.26858,1.29043,1.86788,1.61861,0.00050606,0.00050606,0.00050606
57,3918.09,0.8896,1.05521,1.2651,0.40501,0.45391,0.36636,0.27542,1.27871,1.86118,1.60919,0.000495062,0.000495062,0.000495062
58,3990.2,0.88624,1.0653,1.26334,0.42373,0.45633,0.37438,0.27827,1.27404,1.84009,1.60535,0.000484063,0.000484063,0.000484063
59,4062.1,0.89098,1.05608,1.25777,0.41051,0.45604,0.36339,0.26962,1.25098,1.82003,1.58784,0.000473064,0.000473064,0.000473064
60,4130.44,0.88576,1.05813,1.26203,0.41519,0.4606,0.35561,0.26658,1.26704,1.85079,1.61035,0.000462065,0.000462065,0.000462065
61,4201.57,0.8782,1.03652,1.25186,0.42234,0.4583,0.35857,0.26429,1.27958,1.83853,1.61253,0.000451066,0.000451066,0.000451066
62,4269.44,0.86961,1.0279,1.24867,0.43954,0.43849,0.36573,0.27402,1.26226,1.81248,1.61131,0.000440067,0.000440067,0.000440067
63,4336.91,0.88354,1.04643,1.2573,0.41988,0.46345,0.36799,0.27902,1.24442,1.84302,1.59447,0.000429068,0.000429068,0.000429068
64,4405.26,0.85468,1.01027,1.23197,0.4247,0.47092,0.3706,0.28029,1.24712,1.80978,1.58912,0.000418069,0.000418069,0.000418069
65,4477.73,0.84829,0.99125,1.22869,0.41138,0.44873,0.3623,0.26841,1.27889,1.86576,1.62105,0.00040707,0.00040707,0.00040707
66,4547.06,0.8576,1.00991,1.23979,0.41721,0.46653,0.3635,0.27223,1.26662,1.84888,1.61429,0.000396071,0.000396071,0.000396071
